system:index,ID,Image_Datetime,mean,stdDev,sum,.geo
A2020203_0,1,2020-07-21 01:00:01,25.779572580711555,0.5979994468766575,2.3884148411734638E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020202_0,1,2020-07-20 00:25:01,25.119797160322396,0.527031302411832,1.1531833989751329E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020201_0,1,2020-07-19 00:00:01,25.718029789404106,0.8028767577621038,2.2074491689618653E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020200_0,1,2020-07-18 00:35:01,25.517709743030906,0.6581149328460484,9.210834182245095E7,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020199_0,1,2020-07-17 00:00:01,25.947662394915834,0.5941816370933009,2.1530443394624865E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020198_0,1,2020-07-16 00:45:00,26.234440564436557,0.8945884170453862,1.2053361176433133E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020197_0,1,2020-07-15 00:10:01,26.14346947216297,0.5655899154978462,2.124855279979146E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020196_0,1,2020-07-14 00:55:01,26.15563969934054,0.7660475328159189,2.2757978027579033E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020195_0,1,2020-07-13 00:20:00,25.61562297761244,0.6490334342591833,1.3741542714873654E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
A2020194_0,1,2020-07-12 01:00:01,26.00897387934064,0.6514767124137065,2.5279150669136217E8,"{""type"":""Polygon"",""coordinates"":[[[-39.81496543455647,-19.946017803175277],[-31.894202739335203,-19.946017803175277],[-31.894202739335203,-10.960595736213724],[-39.81496543455647,-10.960595736213724],[-39.81496543455647,-19.946017803175277]]]}"
